                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2422650965 |  2430516167 |  2423082204 |  2442322562 |  2428739904 |  2435821235 |  2707442795 |  2722688874
  Cycles                             |   967080000 |   967080000 |   967080000 |   967080000 |   967080000 |   967080000 |   967080000 |   967080000
  IPC                                |        2.51 |        2.51 |        2.51 |        2.53 |        2.51 |        2.52 |        2.80 |        2.82
  Time (ns)                          |   402950000 |   402950000 |   402950000 |   402950000 |   402950000 |   402950000 |   402950000 |   402950000
  Idle time (ns)                     |     1161782 |     1653057 |      629293 |     1659120 |     1656505 |     1085306 |      721300 |     1720169
  Idle time (%)                      |        0.3% |        0.4% |        0.2% |        0.4% |        0.4% |        0.3% |        0.2% |        0.4%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    11867774 |    14496799 |    13677817 |    19177892 |    15295667 |    17320992 |   318880824 |   323236840
  num incorrect                      |       51790 |       31963 |       33223 |       31855 |       33304 |       31136 |       26432 |       26431
  misprediction rate                 |       0.43% |       0.22% |       0.24% |       0.17% |       0.22% |       0.18% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   230437797 |   230141117 |   229736564 |   229735774 |   229735880 |   229735918 |   153923753 |   153923753
    num misses                       |         649 |          43 |          43 |          43 |          36 |          36 |          36 |          36
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1097973930 |  1098165706 |  1095768272 |  1098506434 |  1096566199 |  1097586192 |   888960430 |   891137432
    num misses                       |     1424691 |     1455900 |     1456292 |     1386329 |     1416218 |     1429897 |      953065 |      946243
    miss rate                        |       0.13% |       0.13% |       0.13% |       0.13% |       0.13% |       0.13% |       0.11% |       0.11%
    mpki                             |        0.59 |        0.60 |        0.60 |        0.57 |        0.58 |        0.59 |        0.35 |        0.35
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1425340 |     1455943 |     1456335 |     1386372 |     1416254 |     1429933 |      953101 |      946279
    num misses                       |       35608 |       48873 |       35082 |       31255 |       32842 |       35040 |       23785 |       30034
    miss rate                        |       2.50% |       3.36% |       2.41% |       2.25% |       2.32% |       2.45% |       2.50% |       3.17%
    mpki                             |        0.01 |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   230437797 |   230141117 |   229736564 |   229735774 |   229735880 |   229735918 |   153923753 |   153923753
    num cache misses                 |      313612 |      311482 |      279040 |      287558 |      278780 |      258857 |      229827 |      170217
    miss rate                        |       0.14% |       0.14% |       0.12% |       0.13% |       0.12% |       0.11% |       0.15% |       0.11%
    mpki                             |        0.13 |        0.13 |        0.12 |        0.12 |        0.11 |        0.11 |        0.08 |        0.06
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1097973930 |  1098165706 |  1095768272 |  1098506434 |  1096566199 |  1097586192 |   888960430 |   891137432
    num cache misses                 |    37802578 |    38421234 |    37028635 |    37672491 |    37392244 |    37914778 |    25507837 |    25534058
    miss rate                        |       3.44% |       3.50% |       3.38% |       3.43% |       3.41% |       3.45% |       2.87% |       2.87%
    mpki                             |       15.60 |       15.81 |       15.28 |       15.42 |       15.40 |       15.57 |        9.42 |        9.38
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    38120007 |    38733344 |    37308978 |    37960742 |    37671979 |    38174899 |    25739023 |    25706251
    num cache misses                 |     6429850 |     6360430 |     6257832 |     6188011 |     6184601 |     6239386 |     3675296 |     3899308
    miss rate                        |      16.87% |      16.42% |      16.77% |      16.30% |      16.42% |      16.34% |      14.28% |      15.17%
    mpki                             |        2.65 |        2.62 |        2.58 |        2.53 |        2.55 |        2.56 |        1.36 |        1.43
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     6435586 |     6361059 |     6259135 |     6188704 |     6185556 |     6240651 |     3676655 |     3901284
    num cache misses                 |       19148 |        4897 |        4905 |        4945 |        4952 |        4936 |        4930 |        4962
    miss rate                        |       0.30% |       0.08% |       0.08% |       0.08% |       0.08% |       0.08% |       0.13% |       0.13%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |       53571 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |    36148.23 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |    36094.80 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        5847 |        1096 |        1103 |        1098 |        1099 |        1103 |        1100 |        1103
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
