                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  270427082 |  269940840 |  276297418 |  278089616 |  279191086 |  270055845 |  279362310 |  278516686
  Cycles                             |  254232960 |  254232960 |  254232960 |  254232960 |  254232960 |  254232960 |  254232960 |  254232960
  IPC                                |       1.06 |       1.06 |       1.09 |       1.09 |       1.10 |       1.06 |       1.10 |       1.10
  Time (ns)                          |  105930400 |  105930400 |  105930400 |  105930400 |  105930400 |  105930400 |  105930400 |  105930400
  Idle time (ns)                     |    3787810 |    3334048 |    2924185 |    2561717 |    3073921 |    1767708 |    1549619 |    2163709
  Idle time (%)                      |       3.6% |       3.1% |       2.8% |       2.4% |       2.9% |       1.7% |       1.5% |       2.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   46243990 |   46037364 |   48509493 |   48826780 |   49090398 |   45769973 |   48736933 |   48523876
  num incorrect                      |    1234134 |    1256399 |    1257129 |    1278002 |    1266832 |    1285699 |    1263377 |    1241435
  misprediction rate                 |      2.60% |      2.66% |      2.53% |      2.55% |      2.52% |      2.73% |      2.53% |      2.49%
  mpki                               |       4.56 |       4.65 |       4.55 |       4.60 |       4.54 |       4.76 |       4.52 |       4.46
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10532902 |   10547008 |   10303374 |   10457483 |   10597469 |   11034086 |   10899299 |   11073473
    num misses                       |        436 |         31 |         31 |         31 |         31 |         31 |         31 |         24
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   97854485 |   97824357 |   97325931 |   97939655 |   98236715 |   98392310 |   99079178 |   98965127
    num misses                       |      98900 |      99612 |      97123 |      97340 |      97130 |     100870 |      98131 |      97229
    miss rate                        |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10%
    mpki                             |       0.37 |       0.37 |       0.35 |       0.35 |       0.35 |       0.37 |       0.35 |       0.35
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      99336 |      99643 |      97154 |      97371 |      97161 |     100901 |      98162 |      97253
    num misses                       |       3901 |       3577 |       3078 |       3350 |       3440 |       4679 |       5087 |       2980
    miss rate                        |      3.93% |      3.59% |      3.17% |      3.44% |      3.54% |      4.64% |      5.18% |      3.06%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10532902 |   10547008 |   10303374 |   10457483 |   10597469 |   11034086 |   10899299 |   11073473
    num cache misses                 |      30442 |       9032 |      12513 |       8251 |      13970 |       7502 |       8200 |      12949
    miss rate                        |      0.29% |      0.09% |      0.12% |      0.08% |      0.13% |      0.07% |      0.08% |      0.12%
    mpki                             |       0.11 |       0.03 |       0.05 |       0.03 |       0.05 |       0.03 |       0.03 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   97854485 |   97824357 |   97325931 |   97939655 |   98236715 |   98392310 |   99079178 |   98965127
    num cache misses                 |   19923318 |   20031483 |   19447840 |   19450865 |   19502607 |   19956208 |   19761857 |   19739592
    miss rate                        |     20.36% |     20.48% |     19.98% |     19.86% |     19.85% |     20.28% |     19.95% |     19.95%
    mpki                             |      73.67 |      74.21 |      70.39 |      69.94 |      69.85 |      73.90 |      70.74 |      70.87
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |   20001100 |   20086189 |   19508614 |   19504758 |   19561496 |   20011329 |   19815048 |   19798927
    num cache misses                 |    5503350 |    5505792 |    5383626 |    5382503 |    5409160 |    5508368 |    5452999 |    5449560
    miss rate                        |     27.52% |     27.41% |     27.60% |     27.60% |     27.65% |     27.53% |     27.52% |     27.52%
    mpki                             |      20.35 |      20.40 |      19.48 |      19.36 |      19.37 |      20.40 |      19.52 |      19.57
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5552933 |    5552961 |    5433365 |    5429493 |    5455551 |    5557358 |    5499443 |    5497339
    num cache misses                 |      55421 |      42579 |      40133 |      42388 |      40751 |      40121 |      42186 |      40259
    miss rate                        |      1.00% |      0.77% |      0.74% |      0.78% |      0.75% |      0.72% |      0.77% |      0.73%
    mpki                             |       0.20 |       0.16 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.14
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     521850 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   87918.78 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   87865.35 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      22650 |      16780 |      16411 |      16802 |      14631 |      13590 |      16786 |      14152
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
