                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  720298261 |  720076328 |  720339857 |  720284979 |  718745300 |  719156572 |  718278690 |  717594960
  Cycles                             |  875977200 |  875977200 |  875977200 |  875977200 |  875977200 |  875977200 |  875977200 |  875977200
  IPC                                |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82
  Time (ns)                          |  364990500 |  364990500 |  364990500 |  364990500 |  364990500 |  364990500 |  364990500 |  364990500
  Idle time (ns)                     |        421 |     809615 |     815818 |     843848 |     871788 |    1023760 |    1051946 |    1080950
  Idle time (%)                      |       0.0% |       0.2% |       0.2% |       0.2% |       0.2% |       0.3% |       0.3% |       0.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   48374776 |   48556396 |   48623269 |   48609932 |   48117488 |   48349069 |   48045148 |   47805453
  num incorrect                      |    5803751 |    5789732 |    5789810 |    5787298 |    5789651 |    5792376 |    5787507 |    5788734
  misprediction rate                 |     10.71% |     10.65% |     10.64% |     10.64% |     10.74% |     10.70% |     10.75% |     10.80%
  mpki                               |       8.06 |       8.04 |       8.04 |       8.03 |       8.06 |       8.05 |       8.06 |       8.07
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   87049234 |   86668116 |   86678036 |   86670566 |   86697343 |   86643521 |   86674291 |   86690592
    num misses                       |        345 |         25 |         18 |         18 |         18 |         18 |         18 |         18
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  210438050 |  209690229 |  209746004 |  209726953 |  209562980 |  209513534 |  209451015 |  209379490
    num misses                       |      38099 |      34172 |      34146 |      34123 |      34169 |      34185 |      34162 |      34134
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      38444 |      34197 |      34164 |      34141 |      34187 |      34203 |      34180 |      34152
    num misses                       |       3536 |        776 |        740 |        848 |        826 |        768 |        750 |        802
    miss rate                        |      9.20% |      2.27% |      2.17% |      2.48% |      2.42% |      2.25% |      2.19% |      2.35%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   87049234 |   86668116 |   86678036 |   86670566 |   86697343 |   86643521 |   86674291 |   86690592
    num cache misses                 |      23535 |      13758 |      13688 |      13721 |      13780 |      13925 |      13823 |      13703
    miss rate                        |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  210438050 |  209690229 |  209746004 |  209726953 |  209562980 |  209513534 |  209451015 |  209379490
    num cache misses                 |    2344962 |    2201168 |    2201316 |    2201181 |    2200561 |    2199459 |    2201111 |    2201248
    miss rate                        |      1.11% |      1.05% |      1.05% |      1.05% |      1.05% |      1.05% |      1.05% |      1.05%
    mpki                             |       3.26 |       3.06 |       3.06 |       3.06 |       3.06 |       3.06 |       3.06 |       3.07
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2368750 |    2214927 |    2215004 |    2214903 |    2214348 |    2213389 |    2214939 |    2214957
    num cache misses                 |    2338556 |    2194107 |    2193757 |    2193938 |    2193347 |    2192299 |    2194006 |    2193949
    miss rate                        |     98.73% |     99.06% |     99.04% |     99.05% |     99.05% |     99.05% |     99.05% |     99.05%
    mpki                             |       3.25 |       3.05 |       3.05 |       3.05 |       3.05 |       3.05 |       3.05 |       3.06
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2339287 |    2194108 |    2193757 |    2193939 |    2193354 |    2192304 |    2194011 |    2193955
    num cache misses                 |     149342 |        129 |         98 |         98 |      16557 |      16500 |      16526 |      16526
    miss rate                        |      6.38% |      0.01% |      0.00% |      0.00% |      0.75% |      0.75% |      0.75% |      0.75%
    mpki                             |       0.21 |       0.00 |       0.00 |       0.00 |       0.02 |       0.02 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      79025 |          0 |          0 |          0 |      78918 |          0 |          0 |          0
  average dram access latency (ns)   |   52806.75 |        inf |        inf |        inf |   52963.21 |        inf |        inf |        inf
  average dram queueing delay        |   52753.32 |       0.00 |       0.00 |       0.00 |   52909.78 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       4855 |         29 |         34 |         35 |         40 |         31 |         32 |         24
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         43 |         39 |         34 |         25 |         62 |         49 |         60 |         61
