                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  187993574 |  207176514 |  209954044 |  217128355 |  220749649 |  222580893 |  222084977 |  227977663
  Cycles                             |  279767280 |  279767280 |  279767280 |  279767280 |  279767280 |  279767280 |  279767280 |  279767280
  IPC                                |       0.67 |       0.74 |       0.75 |       0.78 |       0.79 |       0.80 |       0.79 |       0.81
  Time (ns)                          |  116569700 |  116569700 |  116569700 |  116569700 |  116569700 |  116569700 |  116569700 |  116569700
  Idle time (ns)                     |    2983413 |   15699662 |   18978054 |   14586977 |   19083732 |   14588383 |   15278747 |   15141924
  Idle time (%)                      |       2.6% |      13.5% |      16.3% |      12.5% |      16.4% |      12.5% |      13.1% |      13.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   13289137 |   18940729 |   19734484 |   21784301 |   22818990 |   23342203 |   23200516 |   24884339
  num incorrect                      |      37518 |      21264 |      21264 |      21256 |      21234 |      21240 |      21233 |      21201
  misprediction rate                 |      0.28% |      0.11% |      0.11% |      0.10% |      0.09% |      0.09% |      0.09% |      0.09%
  mpki                               |       0.20 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.09
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   20441254 |   20290429 |   20290268 |   20290259 |   20290251 |   20290245 |   20290249 |   20290102
    num misses                       |        462 |         27 |         27 |         27 |         27 |         27 |         27 |         20
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   61027423 |   63344839 |   63741297 |   64766194 |   65283494 |   65545101 |   65474255 |   66315734
    num misses                       |      46690 |      45973 |      45779 |      46905 |      44488 |      45805 |      45713 |      46173
    miss rate                        |      0.08% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.25 |       0.22 |       0.22 |       0.22 |       0.20 |       0.21 |       0.21 |       0.20
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      47152 |      46000 |      45806 |      46932 |      44515 |      45832 |      45740 |      46193
    num misses                       |      12537 |      11347 |      11409 |      11372 |      11357 |      11533 |      11327 |      11302
    miss rate                        |     26.59% |     24.67% |     24.91% |     24.23% |     25.51% |     25.16% |     24.76% |     24.47%
    mpki                             |       0.07 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20441254 |   20290429 |   20290268 |   20290259 |   20290251 |   20290245 |   20290249 |   20290102
    num cache misses                 |      32344 |      21958 |      20555 |      22055 |      22151 |      22990 |      20879 |      23569
    miss rate                        |      0.16% |      0.11% |      0.10% |      0.11% |      0.11% |      0.11% |      0.10% |      0.12%
    mpki                             |       0.17 |       0.11 |       0.10 |       0.10 |       0.10 |       0.10 |       0.09 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   61027423 |   63344839 |   63741297 |   64766194 |   65283494 |   65545101 |   65474255 |   66315734
    num cache misses                 |    7476663 |    7443600 |    7459711 |    7449712 |    7539723 |    7530885 |    7449963 |    7437601
    miss rate                        |     12.25% |     11.75% |     11.70% |     11.50% |     11.55% |     11.49% |     11.38% |     11.22%
    mpki                             |      39.77 |      35.93 |      35.53 |      34.31 |      34.16 |      33.83 |      33.55 |      32.62
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    7608417 |    7563724 |    7578077 |    7570038 |    7660168 |    7651355 |    7567527 |    7557800
    num cache misses                 |    2004721 |    1958153 |    2003668 |    2024614 |    2035307 |    2049262 |    2070522 |    2077957
    miss rate                        |     26.35% |     25.89% |     26.44% |     26.75% |     26.57% |     26.78% |     27.36% |     27.49%
    mpki                             |      10.66 |       9.45 |       9.54 |       9.32 |       9.22 |       9.21 |       9.32 |       9.11
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2222409 |    2167124 |    2212341 |    2223487 |    2231426 |    2244194 |    2255924 |    2249877
    num cache misses                 |     700940 |     654627 |     639567 |     620183 |     605430 |     603097 |     600077 |     581276
    miss rate                        |     31.54% |     30.21% |     28.91% |     27.89% |     27.13% |     26.87% |     26.60% |     25.84%
    mpki                             |       3.73 |       3.16 |       3.05 |       2.86 |       2.74 |       2.71 |       2.70 |       2.55
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    9296945 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   92494.61 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   92441.18 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     67.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     455350 |     419096 |     408808 |     387825 |     382722 |     381525 |     375941 |     358173
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
