                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   74115744 |   90654935 |   91392170 |   92922295 |   93217496 |   92728088 |   79772420 |   80853718
  Cycles                             |   91319040 |   91319040 |   91319040 |   91319040 |   91319040 |   91319040 |   91319040 |   91319040
  IPC                                |       0.81 |       0.99 |       1.00 |       1.02 |       1.02 |       1.02 |       0.87 |       0.89
  Time (ns)                          |   38049600 |   38049600 |   38049600 |   38049600 |   38049600 |   38049600 |   38049600 |   38049600
  Idle time (ns)                     |       1130 |     574505 |     487734 |     575603 |     576032 |     656833 |     576639 |     657731
  Idle time (%)                      |       0.0% |       1.5% |       1.3% |       1.5% |       1.5% |       1.7% |       1.5% |       1.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    6786196 |   11598004 |   11825329 |   12269009 |   12326958 |   12198023 |    8512952 |    8829129
  num incorrect                      |      23283 |      37605 |      15232 |      15163 |      16103 |      26366 |       4906 |       5136
  misprediction rate                 |      0.34% |      0.32% |      0.13% |      0.12% |      0.13% |      0.22% |      0.06% |      0.06%
  mpki                               |       0.31 |       0.41 |       0.17 |       0.16 |       0.17 |       0.28 |       0.06 |       0.06
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    7911540 |    7806370 |    7793083 |    7772769 |    7756233 |    7724686 |    7704401 |    7671739
    num misses                       |        126 |         25 |         25 |         18 |         18 |         20 |         18 |         20
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   24415354 |   26412609 |   26524115 |   26718317 |   26848111 |   26723394 |   24896874 |   25041510
    num misses                       |    1284685 |    1280690 |    1282582 |    1281917 |    1281000 |    1280459 |    1282963 |    1279444
    miss rate                        |      5.26% |      4.85% |      4.84% |      4.80% |      4.77% |      4.79% |      5.15% |      5.11%
    mpki                             |      17.33 |      14.13 |      14.03 |      13.80 |      13.74 |      13.81 |      16.08 |      15.82
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1284811 |    1280715 |    1282607 |    1281935 |    1281018 |    1280479 |    1282981 |    1279464
    num misses                       |     523281 |     519417 |     520350 |     526407 |     522892 |     521318 |     522703 |     519013
    miss rate                        |     40.73% |     40.56% |     40.57% |     41.06% |     40.82% |     40.71% |     40.74% |     40.56%
    mpki                             |       7.06 |       5.73 |       5.69 |       5.67 |       5.61 |       5.62 |       6.55 |       6.42
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    7911540 |    7806370 |    7793083 |    7772769 |    7756233 |    7724686 |    7704401 |    7671739
    num cache misses                 |       5089 |       1161 |        944 |       1051 |        834 |        955 |        827 |       1166
    miss rate                        |      0.06% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02%
    mpki                             |       0.07 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   24415354 |   26412609 |   26524115 |   26718317 |   26848111 |   26723394 |   24896874 |   25041510
    num cache misses                 |    1340245 |    1327518 |    1358386 |    1363239 |    1355164 |    1344825 |    1359961 |    1356720
    miss rate                        |      5.49% |      5.03% |      5.12% |      5.10% |      5.05% |      5.03% |      5.46% |      5.42%
    mpki                             |      18.08 |      14.64 |      14.86 |      14.67 |      14.54 |      14.50 |      17.05 |      16.78
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1345735 |    1328755 |    1359541 |    1364423 |    1356049 |    1345828 |    1360825 |    1357969
    num cache misses                 |     462136 |     442263 |     446235 |     450073 |     452078 |     445268 |     449383 |     449988
    miss rate                        |     34.34% |     33.28% |     32.82% |     32.99% |     33.34% |     33.09% |     33.02% |     33.14%
    mpki                             |       6.24 |       4.88 |       4.88 |       4.84 |       4.85 |       4.80 |       5.63 |       5.57
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     462552 |     442340 |     446457 |     450206 |     452129 |     445316 |     449421 |     450071
    num cache misses                 |     105412 |      48220 |      45286 |      47088 |      47963 |      47242 |      83821 |      82235
    miss rate                        |     22.79% |     10.90% |     10.14% |     10.46% |     10.61% |     10.61% |     18.65% |     18.27%
    mpki                             |       1.42 |       0.53 |       0.50 |       0.51 |       0.51 |       0.51 |       1.05 |       1.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     761099 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   17579.81 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   17526.38 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     16.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      71241 |      21532 |      19580 |      21057 |      21159 |      19915 |      57212 |      53917
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
