                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  4240256862 |  4245431318 |  5032205556 |  5003799279 |  5070457469 |  5094990922 |  5134498025 |  5121425330
  Cycles                             |  2607973200 |  2607973200 |  2607973200 |  2607973200 |  2607973200 |  2607973200 |  2607973200 |  2607973200
  IPC                                |        1.63 |        1.63 |        1.93 |        1.92 |        1.94 |        1.95 |        1.97 |        1.96
  Time (ns)                          |  1086655500 |  1086655500 |  1086655500 |  1086655500 |  1086655500 |  1086655500 |  1086655500 |  1086655500
  Idle time (ns)                     |      983528 |     1552087 |     2004752 |     1290520 |     1402314 |     1896946 |     1512749 |     1958118
  Idle time (%)                      |        0.1% |        0.1% |        0.2% |        0.1% |        0.1% |        0.2% |        0.1% |        0.2%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   113055409 |   115463831 |   548363781 |   540249019 |   565700333 |   572709881 |   590160057 |   586425398
  num incorrect                      |      382556 |      367507 |      320520 |      319274 |      320830 |      320827 |      321232 |      320828
  misprediction rate                 |       0.34% |       0.32% |       0.06% |       0.06% |       0.06% |       0.06% |       0.05% |       0.05%
  mpki                               |        0.09 |        0.09 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   418368390 |   417706500 |   338105486 |   338105444 |   335716614 |   335716616 |   333802292 |   333802292
    num misses                       |         829 |          40 |          40 |          33 |          33 |          33 |          33 |          33
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1827758116 |  1826124486 |  1706345392 |  1702287230 |  1705174478 |  1708679242 |  1707989505 |  1706120756
    num misses                       |    16559191 |    16615453 |    13649915 |    14181986 |    13041234 |    12563641 |    13894014 |    14875879
    miss rate                        |       0.91% |       0.91% |       0.80% |       0.83% |       0.76% |       0.74% |       0.81% |       0.87%
    mpki                             |        3.91 |        3.91 |        2.71 |        2.83 |        2.57 |        2.47 |        2.71 |        2.90
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |    16560020 |    16615493 |    13649955 |    14182019 |    13041267 |    12563674 |    13894047 |    14875912
    num misses                       |      697539 |      591140 |      510200 |      488335 |      471201 |      485269 |      477017 |      484239
    miss rate                        |       4.21% |       3.56% |       3.74% |       3.44% |       3.61% |       3.86% |       3.43% |       3.26%
    mpki                             |        0.16 |        0.14 |        0.10 |        0.10 |        0.09 |        0.10 |        0.09 |        0.09
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   418368390 |   417706500 |   338105486 |   338105444 |   335716614 |   335716616 |   333802292 |   333802292
    num cache misses                 |      982710 |      756664 |      622510 |      657835 |      595122 |      666118 |      657368 |      650432
    miss rate                        |       0.23% |       0.18% |       0.18% |       0.19% |       0.18% |       0.20% |       0.20% |       0.19%
