                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2772374699 |  2730334368 |  2807698586 |  2821906191 |  2801044230 |  2813837974 |  2818270969 |  2807966760
  Cycles                             |  1590215760 |  1590215760 |  1590215760 |  1590215760 |  1590215760 |  1590215760 |  1590215760 |  1590215760
  IPC                                |        1.74 |        1.72 |        1.77 |        1.77 |        1.76 |        1.77 |        1.77 |        1.77
  Time (ns)                          |   662589900 |   662589900 |   662589900 |   662589900 |   662589900 |   662589900 |   662589900 |   662589900
  Idle time (ns)                     |    21521239 |    21210210 |    14355060 |     9937280 |    15862709 |    13597821 |    17255425 |    22672490
  Idle time (%)                      |        3.2% |        3.2% |        2.2% |        1.5% |        2.4% |        2.1% |        2.6% |        3.4%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   231868231 |   236387248 |   265095201 |   269713101 |   262249508 |   264241981 |   264255458 |   252912287
  num incorrect                      |      858429 |      715576 |      792708 |      838786 |      785186 |      831778 |      828344 |      887991
  misprediction rate                 |       0.37% |       0.30% |       0.30% |       0.31% |       0.30% |       0.31% |       0.31% |       0.35%
  mpki                               |        0.31 |        0.26 |        0.28 |        0.30 |        0.28 |        0.30 |        0.29 |        0.32
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   321671014 |   310485829 |   306344614 |   306135560 |   307140011 |   308476187 |   308906409 |   314003308
    num misses                       |         541 |          70 |          70 |          70 |          70 |          65 |          65 |          65
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1348788123 |  1311201725 |  1310651370 |  1311641698 |  1311539376 |  1315585729 |  1318799854 |  1332207508
    num misses                       |      750818 |      703948 |      729869 |      728097 |      904336 |      826178 |      780588 |      779507
    miss rate                        |       0.06% |       0.05% |       0.06% |       0.06% |       0.07% |       0.06% |       0.06% |       0.06%
    mpki                             |        0.27 |        0.26 |        0.26 |        0.26 |        0.32 |        0.29 |        0.28 |        0.28
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      751359 |      704018 |      729939 |      728167 |      904406 |      826243 |      780653 |      779572
    num misses                       |      163455 |      130353 |      143334 |      145284 |      171547 |      165255 |      160573 |      160893
    miss rate                        |      21.75% |      18.52% |      19.64% |      19.95% |      18.97% |      20.00% |      20.57% |      20.64%
    mpki                             |        0.06 |        0.05 |        0.05 |        0.05 |        0.06 |        0.06 |        0.06 |        0.06
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   321671014 |   310485829 |   306344614 |   306135560 |   307140011 |   308476187 |   308906409 |   314003308
    num cache misses                 |     1010413 |      668101 |      635358 |      638131 |      661548 |      648244 |      656240 |      663016
    miss rate                        |       0.31% |       0.22% |       0.21% |       0.21% |       0.22% |       0.21% |       0.21% |       0.21%
    mpki                             |        0.36 |        0.24 |        0.23 |        0.23 |        0.24 |        0.23 |        0.23 |        0.24
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1348788123 |  1311201725 |  1310651370 |  1311641698 |  1311539376 |  1315585729 |  1318799854 |  1332207508
    num cache misses                 |    38273438 |    37458002 |    37080558 |    37100163 |    37153113 |    37173885 |    37167988 |    37422732
    miss rate                        |       2.84% |       2.86% |       2.83% |       2.83% |       2.83% |       2.83% |       2.82% |       2.81%
    mpki                             |       13.81 |       13.72 |       13.21 |       13.15 |       13.26 |       13.21 |       13.19 |       13.33
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    39928780 |    38609432 |    38271520 |    38418072 |    38728327 |    38330951 |    38294281 |    38368729
    num cache misses                 |    27904183 |    27383973 |    26980309 |    26949139 |    26904350 |    26879584 |    26731157 |    26775303
    miss rate                        |      69.88% |      70.93% |      70.50% |      70.15% |      69.47% |      70.13% |      69.80% |      69.78%
    mpki                             |       10.07 |       10.03 |        9.61 |        9.55 |        9.61 |        9.55 |        9.48 |        9.54
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    28694288 |    27871671 |    27540124 |    27636213 |    27823531 |    27392972 |    27205144 |    27061867
    num cache misses                 |      484400 |      691298 |      736686 |     1255660 |     1396881 |      902079 |      802539 |      537722
    miss rate                        |       1.69% |       2.48% |       2.67% |       4.54% |       5.02% |       3.29% |       2.95% |       1.99%
    mpki                             |        0.17 |        0.25 |        0.26 |        0.44 |        0.50 |        0.32 |        0.28 |        0.19
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |       83044 |           0 |           0 |           0 |       83002 |           0 |           0 |           0
  average dram access latency (ns)   |    14326.30 |         inf |         inf |         inf |    14337.52 |         inf |         inf |         inf
  average dram queueing delay        |    14272.87 |        0.00 |        0.00 |        0.00 |    14284.09 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        6733 |        2175 |        2029 |        1696 |        1937 |        2025 |        2030 |        2851
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      281797 |      477494 |      508163 |      910185 |      983906 |      623901 |      570986 |      389487
