                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  268200177 |  266258311 |  276049841 |  275733863 |  277576959 |  270778634 |  278199127 |  277044857
  Cycles                             |  254954160 |  254954160 |  254954160 |  254954160 |  254954160 |  254954160 |  254954160 |  254954160
  IPC                                |       1.05 |       1.04 |       1.08 |       1.08 |       1.09 |       1.06 |       1.09 |       1.09
  Time (ns)                          |  106230900 |  106230900 |  106230900 |  106230900 |  106230900 |  106230900 |  106230900 |  106230900
  Idle time (ns)                     |    3349890 |    3084967 |    1721474 |    2699105 |    2412632 |    1944554 |    1606266 |    1625621
  Idle time (%)                      |       3.2% |       2.9% |       1.6% |       2.5% |       2.3% |       1.8% |       1.5% |       1.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   45607140 |   44985186 |   48438816 |   48153809 |   48629396 |   45976231 |   48404891 |   48103449
  num incorrect                      |    1234183 |    1255972 |    1257121 |    1277915 |    1266842 |    1286445 |    1263309 |    1241359
  misprediction rate                 |      2.63% |      2.72% |      2.53% |      2.59% |      2.54% |      2.72% |      2.54% |      2.52%
  mpki                               |       4.60 |       4.72 |       4.55 |       4.63 |       4.56 |       4.75 |       4.54 |       4.48
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10533944 |   10547570 |   10303305 |   10457459 |   10597298 |   11033539 |   10899070 |   11073453
    num misses                       |        436 |         31 |         31 |         31 |         24 |         24 |         24 |         24
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   97537699 |   97299342 |   97290456 |   97603080 |   98005774 |   98494505 |   98912558 |   98754815
    num misses                       |      99185 |      99582 |      97756 |      97320 |      97093 |      99449 |      98072 |      97242
    miss rate                        |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10%
    mpki                             |       0.37 |       0.37 |       0.35 |       0.35 |       0.35 |       0.37 |       0.35 |       0.35
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      99621 |      99613 |      97787 |      97351 |      97117 |      99473 |      98096 |      97266
    num misses                       |       4292 |       3966 |       3196 |       3342 |       3782 |       2931 |       5479 |       2514
    miss rate                        |      4.31% |      3.98% |      3.27% |      3.43% |      3.89% |      2.95% |      5.59% |      2.58%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10533944 |   10547570 |   10303305 |   10457459 |   10597298 |   11033539 |   10899070 |   11073453
    num cache misses                 |      29036 |       5453 |       8911 |       5779 |      11249 |       4925 |       7139 |       7312
    miss rate                        |      0.28% |      0.05% |      0.09% |      0.06% |      0.11% |      0.04% |      0.07% |      0.07%
    mpki                             |       0.11 |       0.02 |       0.03 |       0.02 |       0.04 |       0.02 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   97537699 |   97299342 |   97290456 |   97603080 |   98005774 |   98494505 |   98912558 |   98754815
    num cache misses                 |   20658831 |   20802490 |   20230693 |   20269564 |   20312163 |   20817959 |   20499496 |   20424036
    miss rate                        |     21.18% |     21.38% |     20.79% |     20.77% |     20.73% |     21.14% |     20.72% |     20.68%
    mpki                             |      77.03 |      78.13 |      73.29 |      73.51 |      73.18 |      76.88 |      73.69 |      73.72
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |   20725878 |   20841578 |   20270298 |   20309367 |   20355461 |   20857272 |   20537797 |   20459234
    num cache misses                 |    5766714 |    5788414 |    5636281 |    5641552 |    5677215 |    5786321 |    5723011 |    5715379
    miss rate                        |     27.82% |     27.77% |     27.81% |     27.78% |     27.89% |     27.74% |     27.87% |     27.94%
    mpki                             |      21.50 |      21.74 |      20.42 |      20.46 |      20.45 |      21.37 |      20.57 |      20.63
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5806582 |    5822729 |    5667695 |    5676138 |    5709902 |    5821264 |    5754748 |    5743803
    num cache misses                 |      56648 |      47232 |      44887 |      45692 |      45002 |      43909 |      43117 |      43943
    miss rate                        |      0.98% |      0.81% |      0.79% |      0.80% |      0.79% |      0.75% |      0.75% |      0.77%
    mpki                             |       0.21 |       0.18 |       0.16 |       0.17 |       0.16 |       0.16 |       0.15 |       0.16
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     563373 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   83270.45 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   83217.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      25417 |      21712 |      20557 |      20992 |      20463 |      19380 |      18156 |      18730
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
