                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                       |  17253119484 |  16938599007 |  16890910547 |  16229278586 |  16478907405 |  16404349702 |  16603804704 |  16328488396
  Cycles                             |  14307269280 |  14307269280 |  14307269280 |  14307269280 |  14307269280 |  14307269280 |  14307269280 |  14307269280
  IPC                                |         1.21 |         1.18 |         1.18 |         1.13 |         1.15 |         1.15 |         1.16 |         1.14
  Time (ns)                          |   5961362200 |   5961362200 |   5961362200 |   5961362200 |   5961362200 |   5961362200 |   5961362200 |   5961362200
  Idle time (ns)                     |    254313430 |    598112489 |    433153999 |    396638727 |    162360055 |    357730421 |    286204014 |    114414248
  Idle time (%)                      |         4.3% |        10.0% |         7.3% |         6.7% |         2.7% |         6.0% |         4.8% |         1.9%
Branch predictor stats               |              |              |              |              |              |              |              |             
  num correct                        |   3101926188 |   3057387096 |   3050900595 |   2884733350 |   2955069450 |   2928103408 |   2990337551 |   2927762705
  num incorrect                      |    120696891 |    119646560 |    118024248 |    122398726 |    125326696 |    122169350 |    123365724 |    125199515
  misprediction rate                 |        3.75% |        3.77% |        3.72% |        4.07% |        4.07% |        4.01% |        3.96% |        4.10%
  mpki                               |         7.00 |         7.06 |         6.99 |         7.54 |         7.61 |         7.45 |         7.43 |         7.67
TLB Summary                          |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |             
    num accesses                     |   2955609834 |   2905340743 |   2903515052 |   2775978436 |   2822800466 |   2804544936 |   2839953836 |   2791828682
    num misses                       |          161 |           72 |           65 |           65 |           65 |           65 |           65 |           65
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                              |              |              |              |              |              |              |              |             
    num accesses                     |   5790908705 |   5685714065 |   5654089002 |   5496038514 |   5546918681 |   5540068388 |   5586358933 |   5514155166
    num misses                       |     45760007 |     50272612 |     55513549 |     46157639 |     59591374 |     48017246 |     46892168 |     59607459
    miss rate                        |        0.79% |        0.88% |        0.98% |        0.84% |        1.07% |        0.87% |        0.84% |        1.08%
    mpki                             |         2.65 |         2.97 |         3.29 |         2.84 |         3.62 |         2.93 |         2.82 |         3.65
  L2 TLB                             |              |              |              |              |              |              |              |             
    num accesses                     |     45760168 |     50272684 |     55513614 |     46157704 |     59591439 |     48017311 |     46892233 |     59607524
    num misses                       |      5547935 |      4289117 |      5857598 |      6638900 |      8785931 |      7048590 |      7580182 |      9488649
    miss rate                        |       12.12% |        8.53% |       10.55% |       14.38% |       14.74% |       14.68% |       16.17% |       15.92%
    mpki                             |         0.32 |         0.25 |         0.35 |         0.41 |         0.53 |         0.43 |         0.46 |         0.58
Cache Summary                        |              |              |              |              |              |              |              |             
  Cache L1-I                         |              |              |              |              |              |              |              |             
    num cache accesses               |   2955609834 |   2905340743 |   2903515052 |   2775978436 |   2822800466 |   2804544936 |   2839953836 |   2791828682
    num cache misses                 |       324466 |       311946 |       339337 |       335449 |       366448 |       376919 |       410474 |       411659
    miss rate                        |        0.01% |        0.01% |        0.01% |        0.01% |        0.01% |        0.01% |        0.01% |        0.01%
    mpki                             |         0.02 |         0.02 |         0.02 |         0.02 |         0.02 |         0.02 |         0.02 |         0.03
  Cache L1-D                         |              |              |              |              |              |              |              |             
    num cache accesses               |   5790908705 |   5685714065 |   5654089002 |   5496038514 |   5546918681 |   5540068388 |   5586358933 |   5514155166
    num cache misses                 |    193052466 |    142646744 |    147950838 |    155691631 |    164035037 |    154614492 |    160666847 |    167403919
    miss rate                        |        3.33% |        2.51% |        2.62% |        2.83% |        2.96% |        2.79% |        2.88% |        3.04%
    mpki                             |        11.19 |         8.42 |         8.76 |         9.59 |         9.95 |         9.43 |         9.68 |        10.25
  Cache L2                           |              |              |              |              |              |              |              |             
    num cache accesses               |    195837388 |    143990122 |    150699081 |    158707665 |    168138938 |    157845938 |    163803508 |    171895020
    num cache misses                 |     44070126 |     34655754 |     40126380 |     41626525 |     48265297 |     43460182 |     46084981 |     51667977
    miss rate                        |       22.50% |       24.07% |       26.63% |       26.23% |       28.71% |       27.53% |       28.13% |       30.06%
    mpki                             |         2.55 |         2.05 |         2.38 |         2.56 |         2.93 |         2.65 |         2.78 |         3.16
  Cache L3                           |              |              |              |              |              |              |              |             
    num cache accesses               |     46558345 |     35704314 |     42565777 |     44339435 |     52039946 |     46344099 |     48841599 |     55785651
    num cache misses                 |     25937354 |     22445857 |     25451080 |     25803579 |     28589165 |     26718532 |     26811744 |     29535275
    miss rate                        |       55.71% |       62.87% |       59.79% |       58.20% |       54.94% |       57.65% |       54.90% |       52.94%
    mpki                             |         1.50 |         1.33 |         1.51 |         1.59 |         1.73 |         1.63 |         1.61 |         1.81
DRAM summary                         |              |              |              |              |              |              |              |             
  num dram accesses                  |    316535581 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns)   |        64.21 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay        |        10.78 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  average dram bandwidth utilization |       44.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
Coherency Traffic                    |              |              |              |              |              |              |              |             
  num loads from dram                |     16907508 |     13647616 |     17065787 |     17685192 |     20776943 |     18570822 |     18767306 |     21987087
  num loads from dram cache          |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
