                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  191313494 |  208208753 |  211792179 |  206510496 |  205929333 |  208049786 |  211078598 |  222630051
  Cycles                             |  228579120 |  228579120 |  228579120 |  228579120 |  228579120 |  228579120 |  228579120 |  228579120
  IPC                                |       0.84 |       0.91 |       0.93 |       0.90 |       0.90 |       0.91 |       0.92 |       0.97
  Time (ns)                          |   95241300 |   95241300 |   95241300 |   95241300 |   95241300 |   95241300 |   95241300 |   95241300
  Idle time (ns)                     |    4241696 |    6702367 |    6250419 |    5483122 |    5984881 |    5836319 |    4387915 |    6698627
  Idle time (%)                      |       4.5% |       7.0% |       6.6% |       5.8% |       6.3% |       6.1% |       4.6% |       7.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   14236764 |   19235666 |   20259693 |   18750646 |   18584812 |   19190660 |   20056043 |   23356445
  num incorrect                      |      38021 |      21263 |      21244 |      21247 |      21207 |      21210 |      21208 |      21211
  misprediction rate                 |      0.27% |      0.11% |      0.10% |      0.11% |      0.11% |      0.11% |      0.11% |      0.09%
  mpki                               |       0.20 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   20442165 |   20290421 |   20290253 |   20290245 |   20290086 |   20290084 |   20290078 |   20290086
    num misses                       |        412 |         27 |         27 |         27 |         20 |         20 |         20 |         20
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   61601111 |   63492291 |   64003878 |   63249354 |   63166002 |   63468918 |   63901602 |   65551801
    num misses                       |      47543 |      45033 |      46100 |      45194 |      47002 |      47001 |      48539 |      44745
    miss rate                        |      0.08% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.08% |      0.07%
    mpki                             |       0.25 |       0.22 |       0.22 |       0.22 |       0.23 |       0.23 |       0.23 |       0.20
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      47955 |      45060 |      46127 |      45221 |      47022 |      47021 |      48559 |      44765
    num misses                       |      12332 |      11410 |      11487 |      11465 |      11254 |      11382 |      11451 |      11281
    miss rate                        |     25.72% |     25.32% |     24.90% |     25.35% |     23.93% |     24.21% |     23.58% |     25.20%
    mpki                             |       0.06 |       0.05 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20442165 |   20290421 |   20290253 |   20290245 |   20290086 |   20290084 |   20290078 |   20290086
    num cache misses                 |      17861 |       5554 |       4793 |       5345 |       5054 |       5455 |       5030 |       5564
    miss rate                        |      0.09% |      0.03% |      0.02% |      0.03% |      0.02% |      0.03% |      0.02% |      0.03%
    mpki                             |       0.09 |       0.03 |       0.02 |       0.03 |       0.02 |       0.03 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   61601111 |   63492291 |   64003878 |   63249354 |   63166002 |   63468918 |   63901602 |   65551801
    num cache misses                 |    7759824 |    7739027 |    7731211 |    7741367 |    7767704 |    7766105 |    7732189 |    7753097
    miss rate                        |     12.60% |     12.19% |     12.08% |     12.24% |     12.30% |     12.24% |     12.10% |     11.83%
    mpki                             |      40.56 |      37.17 |      36.50 |      37.49 |      37.72 |      37.33 |      36.63 |      34.83
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    7874300 |    7840267 |    7831581 |    7841793 |    7867993 |    7866512 |    7831969 |    7852825
    num cache misses                 |    1248592 |    1226873 |    1226608 |    1228605 |    1231294 |    1224981 |    1225640 |    1222026
    miss rate                        |     15.86% |     15.65% |     15.66% |     15.67% |     15.65% |     15.57% |     15.65% |     15.56%
    mpki                             |       6.53 |       5.89 |       5.79 |       5.95 |       5.98 |       5.89 |       5.81 |       5.49
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1521857 |    1491321 |    1490715 |    1490214 |    1490819 |    1481428 |    1481430 |    1474097
    num cache misses                 |     640457 |     605877 |     614314 |     611996 |     610382 |     607438 |     600206 |     594486
    miss rate                        |     42.08% |     40.63% |     41.21% |     41.07% |     40.94% |     41.00% |     40.52% |     40.33%
    mpki                             |       3.35 |       2.91 |       2.90 |       2.96 |       2.96 |       2.92 |       2.84 |       2.67
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    9053338 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   54881.77 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   54828.34 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     80.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     412041 |     398196 |     398669 |     395783 |     392203 |     388427 |     387333 |     383014
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
