                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  4432574659 |  4388706896 |  4305615256 |  4251665708 |  4146554305 |  4092266942 |  4030648103 |  3857099874
  Cycles                             |  2271085200 |  2271085200 |  2271085200 |  2271085200 |  2271085200 |  2271085200 |  2271085200 |  2271085200
  IPC                                |        1.95 |        1.93 |        1.90 |        1.87 |        1.83 |        1.80 |        1.77 |        1.70
  Time (ns)                          |   946285500 |   946285500 |   946285500 |   946285500 |   946285500 |   946285500 |   946285500 |   946285500
  Idle time (ns)                     |     2752507 |     1937082 |     2079488 |     3285733 |      623906 |     1966593 |     3463208 |     3562997
  Idle time (%)                      |        0.3% |        0.2% |        0.2% |        0.3% |        0.1% |        0.2% |        0.4% |        0.4%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   227467138 |   216337674 |   191565290 |   174868769 |   143960221 |   127128214 |   108551145 |   300142337
  num incorrect                      |      163755 |      152739 |      146231 |      162442 |      145153 |      162629 |      153413 |      173983
  misprediction rate                 |       0.07% |       0.07% |       0.08% |       0.09% |       0.10% |       0.13% |       0.14% |       0.06%
  mpki                               |        0.04 |        0.03 |        0.03 |        0.04 |        0.04 |        0.04 |        0.04 |        0.05
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   349600157 |   348328756 |   348328821 |   348328559 |   348328491 |   348328325 |   348327943 |   262586050
    num misses                       |         743 |          40 |          33 |          33 |          33 |          33 |          33 |          33
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1559670318 |  1553202182 |  1544468329 |  1540535351 |  1528226191 |  1524358074 |  1518522467 |  1311313654
    num misses                       |     5968245 |     5985600 |     5849489 |     6060419 |     5874446 |     6079920 |     5787582 |     4421985
    miss rate                        |       0.38% |       0.39% |       0.38% |       0.39% |       0.38% |       0.40% |       0.38% |       0.34%
    mpki                             |        1.35 |        1.36 |        1.36 |        1.43 |        1.42 |        1.49 |        1.44 |        1.15
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     5968988 |     5985640 |     5849522 |     6060452 |     5874479 |     6079953 |     5787615 |     4422018
    num misses                       |      910856 |      748194 |      916132 |      827607 |      895724 |      765183 |     1033154 |      583053
    miss rate                        |      15.26% |      12.50% |      15.66% |      13.66% |      15.25% |      12.59% |      17.85% |      13.19%
    mpki                             |        0.21 |        0.17 |        0.21 |        0.19 |        0.22 |        0.19 |        0.26 |        0.15
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   349600157 |   348328756 |   348328821 |   348328559 |   348328491 |   348328325 |   348327943 |   262586050
    num cache misses                 |      456409 |      377074 |      331646 |      301263 |      380735 |      361335 |      309359 |      273539
    miss rate                        |       0.13% |       0.11% |       0.10% |       0.09% |       0.11% |       0.10% |       0.09% |       0.10%
    mpki                             |        0.10 |        0.09 |        0.08 |        0.07 |        0.09 |        0.09 |        0.08 |        0.07
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1559670318 |  1553202182 |  1544468329 |  1540535351 |  1528226191 |  1524358074 |  1518522467 |  1311313654
    num cache misses                 |    97190687 |    96362361 |    98017010 |    98133783 |    97783387 |    97816011 |    94812586 |    74236843
    miss rate                        |       6.23% |       6.20% |       6.35% |       6.37% |       6.40% |       6.42% |       6.24% |       5.66%
    mpki                             |       21.93 |       21.96 |       22.76 |       23.08 |       23.58 |       23.90 |       23.52 |       19.25
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    97800443 |    96850445 |    98508399 |    98569993 |    98318732 |    98292287 |    95379936 |    74637463
    num cache misses                 |    19656563 |    18018274 |    19021371 |    17978716 |    19222290 |    18272242 |    18137076 |    13384240
    miss rate                        |      20.10% |      18.60% |      19.31% |      18.24% |      19.55% |      18.59% |      19.02% |      17.93%
    mpki                             |        4.43 |        4.11 |        4.42 |        4.23 |        4.64 |        4.47 |        4.50 |        3.47
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    19813287 |    18132518 |    19185352 |    18116817 |    19379487 |    18390287 |    18399245 |    13515402
    num cache misses                 |       25582 |       13275 |       13190 |       12916 |       13176 |       13317 |       12939 |       11955
    miss rate                        |       0.13% |       0.07% |       0.07% |       0.07% |       0.07% |       0.07% |       0.07% |       0.09%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |      118788 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |    35511.25 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |    35457.82 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        6273 |        1519 |        1544 |        1240 |        1422 |        1570 |        1278 |        1458
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
