                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  197183785 |  224945862 |  227896189 |  227603979 |  213233045 |  224809432 |  230717457 |  224479204
  Cycles                             |  753598800 |  753598800 |  753598800 |  753598800 |  753598800 |  753598800 |  753598800 |  753598800
  IPC                                |       0.26 |       0.30 |       0.30 |       0.30 |       0.28 |       0.30 |       0.31 |       0.30
  Time (ns)                          |  313999500 |  313999500 |  313999500 |  313999500 |  313999500 |  313999500 |  313999500 |  313999500
  Idle time (ns)                     |   11700937 |   17431118 |   17974047 |   21749932 |   19531327 |   22262709 |   21551756 |   20715707
  Idle time (%)                      |       3.7% |       5.6% |       5.7% |       6.9% |       6.2% |       7.1% |       6.9% |       6.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   24426914 |   32907619 |   33768940 |   33687010 |   29587081 |   32896926 |   34585797 |   32803374
  num incorrect                      |      36716 |      19210 |      18953 |      18900 |      18596 |      18337 |      18383 |      18399
  misprediction rate                 |      0.15% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.05% |      0.06%
  mpki                               |       0.19 |       0.09 |       0.08 |       0.08 |       0.09 |       0.08 |       0.08 |       0.08
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   19380205 |   19061983 |   19041644 |   19040947 |   19038613 |   19037637 |   19037253 |   19037277
    num misses                       |        446 |         32 |         32 |         25 |         34 |         24 |         25 |         26
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   69377900 |   72437366 |   72820174 |   72775860 |   70712536 |   72364506 |   73206619 |   72315638
    num misses                       |      76024 |      72929 |      72701 |      72661 |      75386 |      72729 |      72620 |      72568
    miss rate                        |      0.11% |      0.10% |      0.10% |      0.10% |      0.11% |      0.10% |      0.10% |      0.10%
    mpki                             |       0.39 |       0.32 |       0.32 |       0.32 |       0.35 |       0.32 |       0.31 |       0.32
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      76470 |      72961 |      72733 |      72686 |      75420 |      72753 |      72645 |      72594
    num misses                       |      49895 |      47973 |      48217 |      47922 |      48283 |      47929 |      47933 |      47853
    miss rate                        |     65.25% |     65.75% |     66.29% |     65.93% |     64.02% |     65.88% |     65.98% |     65.92%
    mpki                             |       0.25 |       0.21 |       0.21 |       0.21 |       0.23 |       0.21 |       0.21 |       0.21
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   19380205 |   19061983 |   19041644 |   19040947 |   19038613 |   19037637 |   19037253 |   19037277
    num cache misses                 |      24620 |      12375 |      11878 |      11400 |      11360 |      11386 |      11577 |      11318
    miss rate                        |      0.13% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.12 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   69377900 |   72437366 |   72820174 |   72775860 |   70712536 |   72364506 |   73206619 |   72315638
    num cache misses                 |    6792038 |    6725797 |    6720493 |    6687943 |    6731618 |    6719120 |    6698708 |    6689158
    miss rate                        |      9.79% |      9.28% |      9.23% |      9.19% |      9.52% |      9.29% |      9.15% |      9.25%
    mpki                             |      34.45 |      29.90 |      29.49 |      29.38 |      31.57 |      29.89 |      29.03 |      29.80
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    7235411 |    7131928 |    7127965 |    7094122 |    7138265 |    7126101 |    7105810 |    7096410
    num cache misses                 |    4008437 |    3951331 |    4008159 |    3994104 |    4000115 |    3987225 |    4013949 |    4003789
    miss rate                        |     55.40% |     55.40% |     56.23% |     56.30% |     56.04% |     55.95% |     56.49% |     56.42%
    mpki                             |      20.33 |      17.57 |      17.59 |      17.55 |      18.76 |      17.74 |      17.40 |      17.84
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    4431027 |    4346762 |    4404781 |    4390558 |    4396636 |    4384202 |    4410401 |    4400806
    num cache misses                 |    2923030 |    2900789 |    2870192 |    2872122 |    2874176 |    2878171 |    2869740 |    2887027
    miss rate                        |     65.97% |     66.73% |     65.16% |     65.42% |     65.37% |     65.65% |     65.07% |     65.60%
    mpki                             |      14.82 |      12.90 |      12.59 |      12.62 |      13.48 |      12.80 |      12.44 |      12.86
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |   32186642 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   41117.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   41064.47 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     86.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |    2209589 |    2207598 |    2202247 |    2214572 |    2199814 |    2212059 |    2197839 |    2222767
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
